Habitat type,Condition,Confidence,Area (kmÂ²)
A3.1: Atlantic and mediterranean high energy infralittoral rock,3.39,2.15,35.965
A3: Infralittoral rock and other hard substrata,1.25,5.0,0.019
A4.12: Sponge communities on deep circalittoral rock,1.03,3.0,1.011
A4.1: Atlantic and mediterranean high energy circalittoral rock,1.16,2.99,53.068
A5.13: Infralittoral coarse sediment,2.75,2.17,1.459
A5.14: Circalittoral coarse sediment,1.28,3.0,0.23
A5.23 or A5.24: Infralittoral fine sand or Infralittoral muddy sand,3.22,2.66,38.47
A5.25 or A5.26: Circalittoral fine sand or Circalittoral muddy sand,2.33,2.63,54.49
A5.27: Deep circalittoral sand,2.5,3.0,0.003
A5.35: Circalittoral sandy mud,0.82,3.0,0.206
High energy infralittoral seabed,3.49,2.46,0.574
Infralittoral seabed,1.25,5.0,0.002
